idMao,idPartida,jogadorMao,cartaAltaRobo,cartaMediaRobo,cartaBaixaRobo,cartaAltaHumano,cartaMediaHumano,cartaBaixaHumano,primeiraCartaRobo,primeiraCartaHumano,segundaCartaRobo,segundaCartaHumano,terceiraCartaRobo,terceiraCartaHumano,ganhadorPrimeiraRodada,ganhadorSegundaRodada,ganhadorTerceiraRodada,roboCartaVirada,humanoCartaVirada,quemPediuEnvido,quemPediuFaltaEnvido,quemPediuRealEnvido,pontosEnvidoRobo,pontosEnvidoHumano,quemNegouEnvido,quemGanhouEnvido,tentosEnvido,quemFlor,quemContraFlor,quemContraFlorResto,quemNegouFlor,pontosFlorRobo,pontosFlorHumano,quemGanhouFlor,tentosFlor,quemEscondeuPontosEnvido,quemEscondeuPontosFlor,quemTruco,quandoTruco,quemRetruco,quandoRetruco,quemValeQuatro,quandoValeQuatro,quemNegouTruco,quemGanhouTruco,tentosTruco,tentosAnterioresRobo,tentosAnterioresHumano,tentosPosterioresRobo,tentosPosterioresHumano,roboMentiuEnvido,humanoMentiuEnvido,roboMentiuFlor,humanoMentiuFlor,roboMentiuTruco,humanoMentiuTruco,quemBaralho,quandoBaralho,quemContraFlorFalta,quemEnvidoEnvido,quemFlorFlor,quandoCartaVirada,hasDeception,roboMentiuRound1,humanoMentiuRound1,roboMentiuRound2,humanoMentiuRound2,roboMentiuRound3,humanoMentiuRound3,naipeCartaAltaRobo,naipeCartaMediaRobo,naipeCartaBaixaRobo,naipeCartaAltaHumano,naipeCartaMediaHumano,naipeCartaBaixaHumano,naipePrimeiraCartaRobo,naipePrimeiraCartaHumano,naipeSegundaCartaRobo,naipeSegundaCartaHumano,naipeTerceiraCartaRobo,naipeTerceiraCartaHumano,quantidadeChamadasHumano,quantidadeChamadasRobo,qualidadeMaoRobo,qualidadeMaoHumano,primeiraCartaHumanoClustering,segundaCartaHumanoClustering,d,primeiraCartaRoboClustering,segundaCartaRoboClustering,terceiraCartaRoboClustering,quantidadeChamadasEnvidoRobo,quantidadeChamadasEnvidoHumano,cartaAltaRoboClustering,cartaMediaRoboClustering,cartaBaixaRoboClustering,clusterPrimeiraCartaAgentePe,clusterSegundaCartaAgenteGanhouAprimeira,clusterSegundaCartaAgentePerdeuAprimeira,clusterTerceiraCartaAgenteGanhouAsegunda,clusterGanhadorUltimaRodada,clusterTerceiraCartaAgentePerdeuAsegunda,clusterPrimeiraCartaAgenteMao,clusterQuemTruco,clusterQuandoTruco,ganhadorPrimeiraRodadaClustering,ganhadorSegundaRodadaClustering,ganhadorTerceiraRodadaClustering,ganhadorMao,clusterQuemEnvidoAgenteMao,clusterQuemFlor,id,saldoTruco,saldoEnvido,saldoFlor,clusterQuemEnvidoAgentePe,clusteringindexacao
865,c898d909-ac3d-4d2c-8eaf-f58381eff22e,1,24,24,3,4,1,1,24,1,3,4,-50,1,1,2,1,null,null,2,0,0,6,31,1,2,1,null,null,null,null,null,null,null,null,null,null,1,3,0,0,0,0,2,1,1,15,7,16,8,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ESPADAS,OURO,BASTOS,BASTOS,COPAS,BASTOS,ESPADAS,BASTOS,BASTOS,BASTOS,null,COPAS,0,0,0,0,3,3,-50,80,43,-50,null,null,16,16,3,0,2,0,0,null,2,5,5,5,1,2,1,1,1,null,794,0,-1,null,0,null
866,c898d909-ac3d-4d2c-8eaf-f58381eff22e,2,4,3,3,16,7,6,3,16,-10,6,-10,null,2,2,2,null,null,1,0,0,33,22,2,1,1,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,2,1,16,8,17,9,null,null,null,null,null,null,1,2,null,null,null,null,null,null,null,null,null,null,null,BASTOS,OURO,BASTOS,BASTOS,OURO,BASTOS,BASTOS,BASTOS,null,BASTOS,null,null,0,0,0,0,16,7,-15,43,-15,-15,null,null,3,3,3,5,0,4,0,null,2,0,1,3,2,2,2,2,0,null,795,0,1,null,4,null
867,c898d909-ac3d-4d2c-8eaf-f58381eff22e,1,16,12,2,7,4,1,16,1,2,4,12,7,1,2,1,null,null,1,0,0,27,7,2,1,1,null,null,null,null,null,null,null,null,null,null,2,3,0,0,0,0,0,1,2,17,9,20,9,null,null,null,null,null,null,null,null,null,null,null,null,1,null,null,null,null,null,31,BASTOS,OURO,BASTOS,OURO,BASTOS,ESPADAS,BASTOS,ESPADAS,BASTOS,BASTOS,OURO,OURO,0,0,0,0,3,3,7,144,43,80,null,null,16,12,3,0,2,0,0,null,1,3,1,5,1,2,1,1,5,null,796,0,1,null,0,null
868,c898d909-ac3d-4d2c-8eaf-f58381eff22e,2,40,16,3,42,16,7,3,42,40,16,-15,null,2,1,2,null,null,2,0,0,33,29,0,1,2,null,null,null,null,null,null,null,null,null,null,1,3,2,3,0,0,1,2,2,20,9,22,11,null,null,null,null,null,null,null,null,null,null,null,null,1,null,null,null,null,31,31,OURO,COPAS,OURO,ESPADAS,ESPADAS,OURO,OURO,ESPADAS,OURO,ESPADAS,null,null,0,0,0,0,41,16,-15,43,144,-15,null,null,41,16,3,3,0,2,2,null,0,0,4,2,2,1,2,1,0,null,797,0,2,null,6,null
869,c898d909-ac3d-4d2c-8eaf-f58381eff22e,1,8,3,1,16,16,1,8,16,-15,null,-15,null,2,2,2,null,null,1,0,0,24,26,0,2,2,null,null,null,null,null,null,null,null,null,null,2,2,0,0,0,0,1,2,1,22,11,22,14,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BASTOS,ESPADAS,BASTOS,ESPADAS,OURO,ESPADAS,BASTOS,OURO,null,null,null,null,0,0,0,0,16,-15,-15,144,-15,-15,null,null,7,3,3,0,0,4,0,null,2,3,5,5,2,2,2,2,3,null,798,0,-2,null,0,null
870,c898d909-ac3d-4d2c-8eaf-f58381eff22e,2,24,6,3,8,7,1,24,8,3,7,-50,null,1,2,1,null,null,0,0,0,23,20,0,0,0,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,1,1,22,14,23,14,null,null,null,null,null,null,2,3,null,null,null,null,null,null,null,null,null,null,null,BASTOS,BASTOS,COPAS,COPAS,COPAS,BASTOS,BASTOS,COPAS,COPAS,COPAS,null,null,0,0,0,0,7,7,-50,144,43,-50,null,null,16,7,3,4,2,0,0,null,2,0,1,3,1,2,1,1,0,null,799,0,-2,null,5,null
872,c898d909-ac3d-4d2c-8eaf-f58381eff22e,2,50,7,6,7,4,1,7,7,-50,null,-50,null,0,1,1,null,null,0,0,0,21,7,0,0,0,null,null,null,null,null,null,null,null,null,null,2,2,0,0,0,0,0,1,2,26,14,2,0,null,null,null,null,null,null,2,2,null,null,null,null,1,null,null,null,23,null,null,BASTOS,BASTOS,ESPADAS,ESPADAS,COPAS,OURO,BASTOS,ESPADAS,null,null,null,null,0,0,0,0,7,-50,-50,80,-50,-50,null,null,51,7,7,1,0,0,2,null,0,0,1,5,0,1,1,1,0,null,801,0,-2,null,5,null
873,2926a3ca-afcf-4c70-b5b5-275211aaaf38,1,8,3,1,40,16,8,8,16,-10,8,-10,null,2,2,2,null,null,2,0,0,26,29,1,2,1,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,2,1,2,0,2,2,null,null,null,null,null,null,1,2,null,null,null,null,null,null,null,null,null,null,null,BASTOS,BASTOS,COPAS,OURO,OURO,COPAS,BASTOS,OURO,null,COPAS,null,null,0,0,0,0,16,7,-15,144,-15,-15,null,null,7,3,3,0,0,4,0,null,2,3,1,3,2,2,2,2,1,null,802,0,-1,null,0,null
874,2926a3ca-afcf-4c70-b5b5-275211aaaf38,2,8,7,1,12,2,1,1,12,7,1,8,null,2,1,2,null,null,2,0,0,20,29,1,2,1,null,null,null,null,null,null,null,null,null,null,2,3,0,0,0,0,1,2,1,2,2,2,4,null,null,null,null,null,null,null,null,null,null,null,null,1,14,14,null,null,null,null,OURO,OURO,COPAS,OURO,ESPADAS,ESPADAS,COPAS,OURO,OURO,ESPADAS,OURO,null,0,0,0,0,12,3,-15,43,80,144,null,null,7,7,3,5,0,1,1,null,0,0,5,5,2,1,2,1,0,null,803,0,-1,null,6,null
875,2926a3ca-afcf-4c70-b5b5-275211aaaf38,1,24,12,12,8,6,1,24,1,12,null,-50,null,1,1,1,null,null,2,0,0,3,4,1,2,1,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,1,1,2,4,3,5,null,3,null,null,null,null,2,2,null,null,null,null,1,null,null,null,null,null,null,ESPADAS,OURO,COPAS,COPAS,BASTOS,ESPADAS,ESPADAS,ESPADAS,COPAS,null,null,null,0,0,0,0,3,-50,-50,144,-50,-50,null,null,16,12,12,0,1,0,2,null,0,3,1,3,1,1,1,1,1,null,804,0,-1,null,0,null
